"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"TX",1896,2692909,NA,NA,NA,44224,1269,NA,NA,NA,11423,31532,NA,7193,6279,914,12398,3678,67493,31186,2375,361,"27723",727,3728,4503,"48",21065,6963,67493,209,59619,5416,NA,NA,NA,35234,7513,6284,1229,22197,4539,93868,47093,3581,361,"42134","1017",3870,4503,"188",23572,14642,93868,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5261,NA,NA,NA,NA,NA,NA,NA,NA,2145,NA,NA,NA,NA,NA,NA,NA,NA,NA,845,1780,NA,NA,NA,NA,NA,12884.7320574163,7124.09788359788
"TX",1897,2777763,NA,NA,NA,40593,1271,NA,NA,NA,11435,27887,NA,7351,6280,1071,14420,3588,65952,32297,2856,408,"28260",773,2145,4308,"30",19985,7187,65952,202,53470,4885,NA,NA,NA,31805,7670,6301,1369,22642,4229,88011,44957,3506,408,"40176","867",2167,4308,"314",21150,15115,88011,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4786,NA,NA,NA,NA,NA,NA,NA,NA,2040,NA,NA,NA,NA,NA,NA,NA,NA,NA,903,1518,NA,NA,NA,NA,NA,13751.301980198,7467.10483870968
"TX",1898,2865292,NA,NA,NA,41965,1372,NA,NA,NA,12351,28242,NA,7317,6367,950,20096,3616,72994,41087,4214,353,"35636",884,1280,4219,"38",19190,7180,72994,196,54940,5017,NA,NA,NA,32437,7684,6375,1309,29074,4310,96008,54671,4858,353,"48483","977",1298,4219,"141",20170,15509,96008,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5130,NA,NA,NA,NA,NA,NA,NA,NA,2059,NA,NA,NA,NA,NA,NA,NA,NA,NA,846,2093,NA,NA,NA,NA,NA,14618.8367346939,7461.69791666667
"TX",1899,2955578,NA,NA,NA,47541,1545,NA,NA,NA,13906,32090,NA,8120,7047,1073,24798,3446,83905,51459,5941,688,"43900",930,974,4599,"7",18920,7946,83905,197,59778,4917,NA,NA,NA,36300,8435,7073,1362,33112,4131,105456,64288,6466,688,"56132","1002",990,4599,"100",19743,15736,105456,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5314,NA,NA,NA,NA,NA,NA,NA,NA,2117,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,1843,NA,NA,NA,NA,NA,15002.9340101523,7539.73979591837
"TX",1900,3048710,NA,NA,NA,56213,1883,NA,NA,NA,16949,37381,NA,9792,8914,878,23405,3539,92949,55617,5792,1019,"47759",1047,2275,6456,"48",19170,9383,92949,207,70027,5601,NA,NA,NA,42074,10161,8932,1229,32593,4220,117001,70173,6551,1019,"61385","1218",2294,6456,"184",20330,17564,117001,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6252,NA,NA,NA,NA,NA,NA,NA,NA,2322,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,2108,NA,NA,NA,NA,NA,14728.0676328502,7435.87804878049
"TX",1901,3124442,NA,NA,NA,71711,2302,NA,NA,NA,20717,48692,NA,12004,11005,999,45571,3868,133154,90457,11648,989,"76410",1410,1358,8876,"10",21889,10564,133154,276,85725,5991,NA,NA,NA,53814,12369,11027,1342,55346,4758,158198,105567,12259,989,"90783","1536",1375,8876,"120",22905,19355,158198,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7459,NA,NA,NA,NA,NA,NA,NA,NA,2572,NA,NA,NA,NA,NA,NA,NA,NA,NA,843,2375,NA,NA,NA,NA,NA,11320.4420289855,6389.45194274029
"TX",1902,3202055,NA,NA,NA,84882,2657,NA,NA,NA,23911,58314,NA,12524,11752,772,35575,4272,137253,85218,9157,1540,"72871",1650,5055,9235,"447",24448,12850,137253,328,100889,6704,NA,NA,NA,64227,13101,11790,1311,46297,5271,165558,102682,9992,1540,"89295","1855",5080,9235,"600",25934,22027,165558,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8533,NA,NA,NA,NA,NA,NA,NA,NA,2988,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,2578,NA,NA,NA,NA,NA,9762.36280487805,6030.23540489642
"TX",1903,3281596,NA,NA,NA,86830,2839,NA,NA,NA,25554,58437,NA,13858,12930,928,36867,4848,142403,86491,9676,1694,"73247",1874,3468,9991,"207",26713,15533,142403,359,107171,7997,NA,NA,NA,64774,14876,13008,1868,49153,5972,177172,108751,11889,1694,"92582","2586",3498,9991,"528",29592,24812,177172,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9141,NA,NA,NA,NA,NA,NA,NA,NA,3344,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271,2523,NA,NA,NA,NA,NA,9140.93593314763,5628.80960548885
"TX",1904,3363113,NA,NA,NA,93877,3004,NA,NA,NA,27037,63836,NA,17374,16313,1061,47697,5870,164818,102147,13774,1572,"84686",2115,2212,13065,"86",30213,17095,164818,404,112872,7735,NA,NA,NA,70228,18639,16380,2259,58975,6753,197239,123050,15616,1572,"103164","2698",2239,13065,"357",32653,25875,197239,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10009,NA,NA,NA,NA,NA,NA,NA,NA,3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425,3158,NA,NA,NA,NA,NA,8324.53712871287,5398.25521669342
"TX",1905,3446654,NA,NA,NA,106741,3544,NA,NA,NA,31894,71303,NA,19431,18172,1259,57445,6800,190417,121395,18361,1058,"99359",2617,2328,15464,"142",32254,18834,190417,437,127202,8452,NA,NA,NA,77780,20944,18252,2692,69564,7841,225551,144521,20505,1058,"119634","3324",2368,15464,"425",35526,27247,225551,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11398,NA,NA,NA,NA,NA,NA,NA,NA,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491,3850,NA,NA,NA,NA,NA,7887.08009153318,4980.71387283237
